# R.D. Deslattes, E.G. Kessler Jr., P. Indelicato, L. de Billy, E. Lindroth, J. Anton, J.S. Coursey, D.J. Schwab, C. Chang, R. Sukumar, K. Olsen, and R.A. Dragoset (2005), X-ray Transition Energies (version 1.2). [Online] Available: http://physics.nist.gov/XrayTrans [2009, May 22]. National Institute of Standards and Technology, Gaithersburg, MD. 
# Elements: All (Neon - Fermium)
# Transitions: All
# Energy Range: 0 eV - 200000 eV
# Sorted by Energy
# Downloaded: 22-May-2009
# Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
Pu	244	L1M5	19330.8	2.6								
Pu	239	L1M5	19331.0	2.6	19323.9	4.5						1d
Th	232	L2N6	19358.2	2.3	19348.00	0.15						75d
Es	251	L3N4	19363.8	2.8								
Th	232	L2N7	19366.2	1.9								
Cf	251	L3N6	19384.2	2.3								
Cf	250	L3N6	19384.4	2.3								
Cf	249	L3N6	19384.6	2.3								
Bk	249	L2M3	19392.3	2.7	19408	53						70d
Bk	250	L2M3	19392.3	2.7								
Cf	251	L3N7	19399.7	1.9								
Cf	250	L3N7	19399.9	1.9								
Cf	249	L3N7	19400.1	1.9								
Cm	245	L2M4	19425.2	1.7								
Cm	248	L2M4	19425.2	1.7								
Es	251	L3N5	19426.3	2.5								
Fm	254	L2M1	19442.4	2.4	19444	11						74d
Bk	249	L3 edge	19445.76	0.50	19449	30						70d
Bk	250	L3 edge	19445.76	0.50								
Mo		KM1	19495.8	1.2								
Fm	254	L3N3	19496.9	2.7	19497	11						74d
Th	232	L1N3	19504.3	3.9	19503.445	0.060						75d
U	233	L2N1	19507.0	3.2								
U	238	L2N1	19507.2	3.2	19507.27	0.91						1d
Ac	227	L1N6	19530.3	3.2								
Ac	227	L1N7	19537.8	2.9								
Pa	231	L2N4	19575.9	2.8	19568.5	4.1						1d
Mo		KM2	19589.9	1.4	19590.25	0.41						1,5d
Mo		KM3	19607.1	1.2	19608.34	0.42						1,5d
Pa	231	L2N5	19616.3	2.9								
Cm	245	L2M5	19641.2	1.7								
Cm	248	L2M5	19641.2	1.7								
Cf	251	L1M2	19672.9	3.6	19678	51						72d
Cf	250	L1M2	19673.3	3.6	19676.2	6.3						71d
Cf	249	L1M2	19673.4	3.6								
U	233	L2N2	19675.9	4.2								
U	238	L2N2	19676.1	4.2								
Cm	248	L1M3	19686.7	3.8								
Cm	245	L1M3	19686.9	3.8								
Th	232	L2 edge	19701.59	0.72	19682.9	4.6	19690.5	3.4				1d
Am	243	L1M4	19710.0	2.7								
Am	241	L1M4	19710.1	2.7								
Pa	231	L1N1	19735.1	4.1								
Th	232	L1N4	19757.6	3.8	19756.75	0.83						75d
Mo		KM4	19768.70	0.89	19771.4	2.3						1d
Mo		KM5	19772.81	0.85	19776.4	2.3						1d
Th	232	L1N5	19795.5	3.8	19793.91	0.50						75d
Fm	254	L3N4	19809.0	2.9	19809	13						74d
Rh		KL1	19809.3	1.1								
Es	251	L1M1	19814.4	3.3								
Es	251	L3N6	19828.1	2.4								
Es	251	L3N7	19844.6	1.9								
Ac	227	L1 edge	19855.2	1.7								
Fm	254	L2M2	19869.6	2.5	19865.0	9.9						74d
Fm	254	L3N5	19874.8	2.6	19879	13						74d
Pa	231	L1N2	19899.6	5.2	19872.1	4.7						1d
U	233	L2N3	19902.8	2.9								
U	238	L2N3	19903.0	2.9	19907.2	4.7						1d
Am	243	L1M5	19915.6	2.7								
Am	241	L1M5	19915.7	2.7								
Cf	251	L3 edge	19925.62	0.50								
Cf	250	L3 edge	19925.80	0.50	19901.0	6.0						71d
Cf	249	L3 edge	19925.98	0.50	19901.45	0.50						16d
Mo		KN1	19940.3	2.8								
Pa	231	L2N6	19955.9	2.4								
Mo		KN2	19960.0	1.1	19965.27	0.95					KN2,3	1d
Pa	231	L2N7	19964.8	2.0								
Mo		KN3	19967.16	0.68	19965.27	0.95					KN2,3	1d
Cf	251	L2M3	19996.1	2.7	20001	16						72d
Cf	250	L2M3	19996.3	2.7	19990.0	8.5						71d
Cf	249	L2M3	19996.5	2.7								
Mo		KN5	19999.84	0.35	19996.8	4.3					KN4,5	1d
Mo		KN4	20000.73	0.83	19996.8	4.3					KN4,5	1d
Mo		K edge	20008.81	0.28	20000.351	0.020	20000.5	2.1				13d
Bk	249	L2M4	20015.2	1.7								
Bk	250	L2M4	20015.2	1.7								
Rh		KL2	20073.48	0.67	20073.67	0.20						1,5d
Np	237	L2N1	20099.9	3.2	20107	19						1,64d
Pa	231	L1N3	20112.6	3.9	20097.6	4.8						1d
Th	232	L1N6	20138.2	3.3	20127.0	4.8					L1N6,7	1d
Th	232	L1N7	20146.2	2.9	20127.0	4.8					L1N6,7	1d
U	233	L2N4	20167.3	2.8								
U	238	L2N4	20167.5	2.8	20167.27	0.44						1d
U	233	L2N5	20210.2	2.9								
U	238	L2N5	20210.5	2.9								
Rh		KL3	20215.75	0.60	20216.12	0.20						1,5d
Es	251	L1M2	20233.8	3.7								
Bk	250	L2M5	20241.8	1.6								
Bk	249	L2M5	20241.9	1.6								
Np	237	L2N2	20272.7	4.3	20281	21						64d
Bk	250	L1M3	20282.5	3.8								
Bk	249	L1M3	20282.6	3.8	20298	53						70d
Fm	254	L3N6	20284.4	2.3	20229	17					L3N6,7	74d
Cm	248	L1M4	20299.5	2.8								
Cm	245	L1M4	20299.7	2.8								
Fm	254	L3N7	20302.1	2.0	20229	17					L3N6,7	74d
Pa	231	L2 edge	20318.12	0.73			20313.5	3.0				
U	238	L1N1	20318.3	4.2								
U	233	L1N1	20318.4	4.2								
Pa	231	L1N4	20371.5	3.8								
Fm	254	L1M1	20380.3	3.4	20373	12						74d
Es	251	L3 edge	20389.42	0.60								
Pa	231	L1N5	20411.9	3.8								
Th	232	L1 edge	20481.6	1.7	20462.5	5.0	20470.0	3.6				1d
U	238	L1N2	20487.2	5.2	20484.92	0.45						1d
U	233	L1N2	20487.3	5.2								
Tc		KM1	20501.2	1.2								
Np	237	L2N3	20514.3	2.9	20518	21						64d
Cm	248	L1M5	20515.5	2.8								
Cm	245	L1M5	20515.7	2.8								
U	233	L2N6	20557.5	2.5								
U	238	L2N6	20557.8	2.5	20557.5	5.0						1d
U	233	L2N7	20567.3	2.0								
U	238	L2N7	20567.5	2.0								
Tc		KM2	20599.4	1.4	20599.2	2.0						1d
Es	251	L2M3	20610.1	2.8								
Tc		KM3	20618.7	1.2	20619.0	2.0						1d
Cf	251	L2M4	20629.3	1.7	20656	70						72d
Cf	250	L2M4	20629.5	1.7								
Cf	249	L2M4	20629.7	1.7								
Pu	239	L2N1	20708.1	3.3	20705.1	5.1						1d
Pu	244	L2N1	20708.1	3.3								
U	238	L1N3	20714.1	3.9	20712.95	0.46						1d
U	233	L1N3	20714.2	3.9								
Pd		KL1	20747.8	1.1								
Pa	231	L1N6	20751.5	3.4								
Pa	231	L1N7	20760.4	2.9								
Np	237	L2N4	20784.5	2.8	20785.04	0.46						1d
Tc		KM4	20787.80	0.92								
Tc		KM5	20792.02	0.89								
Fm	254	L1M2	20807.5	3.6	20794	11						74d
Np	237	L2N5	20830.0	2.9								
Cf	251	L2M5	20866.8	1.6	20876	70						72d
Cf	250	L2M5	20867.1	1.6								
Cf	249	L2M5	20867.2	1.6								
Fm	254	L3 edge	20872.81	0.60	20868.0	7.0						74d
Pu	239	L2N2	20884.8	4.3								
Pu	244	L2N2	20884.8	4.3								
Cf	251	L1M3	20902.3	3.9	20902	58						72d
Cf	250	L1M3	20902.7	3.9	20892.0	9.4						71d
Cf	249	L1M3	20902.9	3.9								
Bk	250	L1M4	20905.4	2.8								
Bk	249	L1M4	20905.5	2.8								
Np	237	L1N1	20926.8	4.2	20922	21						64d
U	233	L2 edge	20954.72	0.77								
U	238	L2 edge	20954.95	0.77	20946.5	5.2	20945.7	2.3				1d
Tc		KN1	20977.3	3.0								
U	238	L1N4	20978.6	3.8	20979.8	2.6						1d
U	233	L1N4	20978.7	3.8								
Tc		KN2	20999.2	1.4	21005.4	2.6					KN2,3	1d
Tc		KN3	21006.03	0.79	21005.4	2.6					KN2,3	1d
Pd		KL2	21020.61	0.70	21020.15	0.22						1,5d
U	238	L1N5	21021.6	3.9	21018.9	2.6						1d
U	233	L1N5	21021.7	3.9								
Tc		KN4	21042.72	0.85								
Tc		KN5	21043.05	0.75								
Tc		K edge	21050.47	0.30	21047.49	0.53	21045.67	0.85				1d
Np	237	L1N2	21099.7	5.3	21104	16						1,64d
Pa	231	L1 edge	21113.7	1.7			21100.3	4.2				
Bk	250	L1M5	21132.0	2.7								
Bk	249	L1M5	21132.1	2.7								
Pu	239	L2N3	21141.9	2.9								
Pu	244	L2N3	21141.9	2.9								
Pd		KL3	21177.25	0.64	21177.08	0.17						1,5d
Np	237	L2N6	21185.0	2.6								
Np	237	L2N7	21195.7	2.0								
Fm	254	L2M3	21240.8	2.8	21236.0	9.9						74d
Es	251	L2M4	21253.7	1.8								
Am	241	L2N1	21330.9	3.3	21332.0	2.0						66d
Am	243	L2N1	21330.9	3.3								
Np	237	L1N3	21341.2	3.9	21338	16						1,64d
U	238	L1N6	21368.9	3.5								
U	233	L1N6	21369.0	3.5								
U	233	L1N7	21378.7	3.0								
U	238	L1N7	21378.7	3.0								
Pu	239	L2N4	21417.7	2.8	21417.55	0.49						1d
Pu	244	L2N4	21417.7	2.8								
Pu	239	L2N5	21465.9	2.8								
Pu	244	L2N5	21465.9	2.8								
Es	251	L2M5	21502.5	1.7								
Am	241	L2N2	21511.9	4.5	21510.1	3.0						66d
Am	243	L2N2	21511.9	4.5								
Es	251	L1M3	21532.3	3.9								
Ru		KM1	21533.3	1.2								
Cf	251	L1M4	21535.5	2.9	21556	70						72d
Cf	250	L1M4	21535.9	2.9								
Cf	249	L1M4	21536.1	2.9								
Pu	244	L1N1	21550.4	4.3								
Pu	239	L1N1	21550.6	4.3								
Np	237	L2 edge	21606.62	0.79	21615.0	9.9						64, 79d
Np	237	L1N4	21611.4	3.9								
Ru		KM2	21635.7	1.4	21634.65	0.16						1,5d
Np	237	L1N5	21657.0	3.9								
Ru		KM3	21657.5	1.2	21656.75	0.16						1,5d
Ag		KL1	21709.4	1.2								
Pu	244	L1N2	21727.1	5.4								
Pu	239	L1N2	21727.4	5.4	21725.4	1.1						1d
U	233	L1 edge	21766.1	1.8								
U	238	L1 edge	21766.1	1.8	21770.4	5.7	21756.0	1.5				1d
Cf	251	L1M5	21773.1	2.8	21776	70						72d
Cf	250	L1M5	21773.5	2.8								
Cf	249	L1M5	21773.7	2.8								
Am	241	L2N3	21785.1	2.9	21787.0	3.1						66d
Am	243	L2N3	21785.1	2.9								
Pu	239	L2N6	21828.4	2.6								
Pu	244	L2N6	21828.4	2.6								
Ru		KM4	21833.74	0.95	21828	11						1d
Ru		KM5	21838.57	0.92	21833.6	5.1						1d
Pu	239	L2N7	21840.5	2.0								
Pu	244	L2N7	21840.5	2.0								
Fm	254	L2M4	21894.8	1.8	21898	13						74d
Cm	245	L2N1	21969.1	3.4								
Cm	248	L2N1	21969.1	3.4								
Pu	244	L1N3	21984.2	3.9								
Pu	239	L1N3	21984.4	3.9	21982.64	0.52						1d
Ag		KL2	21990.67	0.72	21990.30	0.10						5d
Np	237	L1N6	22012.0	3.6								
Np	237	L1N7	22022.7	3.1								
Ru		KN1	22046.6	3.1								
Am	241	L2N4	22067.0	2.9	22065.39	0.52						1d
Am	243	L2N4	22067.0	2.9								
Ru		KN2	22071.1	1.7	22074.3	1.7					KN2,3	1d
Ru		KN3	22077.45	0.88	22074.3	1.7					KN2,3	1d
Ru		KN4	22117.30	0.84	22104.6	5.2					KN4,5	1d
Am	243	L2N5	22117.8	2.9								
Am	241	L2N5	22117.9	2.9								
Ru		KN5	22117.91	0.83	22104.6	5.2					KN4,5	1d
Ru		K edge	22127.70	0.32	22119.56	0.58	22117.91	0.55				1d
Cm	245	L2N2	22154.3	4.6								
Cm	248	L2N2	22154.3	4.6								
Fm	254	L2M5	22155.4	1.7	22160	13						74d
Ag		KL3	22162.99	0.66	22162.917	0.030						5d
Es	251	L1M4	22175.9	3.0								
Fm	254	L1M3	22178.7	4.0	22165	11						74d
Am	243	L1N1	22189.3	4.4								
Am	241	L1N1	22189.4	4.4	22187.5	2.0						66d
Pu	244	L1N4	22260.0	3.9								
Pu	239	L1N4	22260.2	3.9								
Pu	239	L2 edge	22269.42	0.79	22270	10						65d
Pu	244	L2 edge	22269.47	0.79	22251.0	5.9						1d
Pu	244	L1N5	22308.2	3.9								
Pu	239	L1N5	22308.5	3.9								
Am	243	L1N2	22370.3	5.6								
Am	241	L1N2	22370.4	5.6	22365.3	2.9						1,66d
Es	251	L1M5	22424.7	2.8								
Np	237	L1 edge	22433.6	1.8	22437.5	9.5						64, 79d
Cm	245	L2N3	22444.6	2.9								
Cm	248	L2N3	22444.6	2.9								
Am	241	L2N6	22488.0	2.7								
Am	243	L2N6	22488.0	2.7								
Am	241	L2N7	22500.9	2.1								
Am	243	L2N7	22500.9	2.1								
Rh		KM1	22586.0	1.2								
Bk	249	L2N1	22629.7	3.5	22631	42						70d
Bk	250	L2N1	22629.7	3.5								
Am	243	L1N3	22643.5	4.0								
Am	241	L1N3	22643.6	4.0	22642.2	3.1						66d
Pu	244	L1N6	22670.7	3.7								
Pu	239	L1N6	22671.0	3.7								
Pu	244	L1N7	22682.8	3.1								
Pu	239	L1N7	22683.0	3.1								
Cd		KL1	22694.5	1.2								
Rh		KM2	22699.8	1.4	22698.83	0.17						1,5d
Rh		KM3	22724.1	1.2	22723.59	0.17						1,5d
Cm	245	L2N4	22732.4	3.0								
Cm	248	L2N4	22732.4	3.0								
Cm	245	L2N5	22786.1	2.9								
Cm	248	L2N5	22786.1	2.9								
Bk	249	L2N2	22819.3	4.8								
Bk	250	L2N2	22819.3	4.8								
Fm	254	L1M4	22832.7	2.9	22827	14						74d
Cm	248	L1N1	22843.3	4.5								
Cm	245	L1N1	22843.5	4.5								
Rh		KM4	22907.81	0.97	22909.6	5.6						1d
Rh		KM5	22913.04	0.94	22916.8	5.6						1d
Am	243	L1N4	22925.4	3.9								
Am	241	L1N4	22925.5	3.9								
Am	243	L2 edge	22954.02	0.80								
Am	241	L2 edge	22954.03	0.80	22952.0	3.0						66d
Am	243	L1N5	22976.3	3.9								
Am	241	L1N5	22976.4	3.9								
Cd		KL2	22984.48	0.75	22984.05	0.20						1,5d
Cm	248	L1N2	23028.6	5.7								
Cm	245	L1N2	23028.8	5.7								
Fm	254	L1M5	23093.3	2.9	23089	14						74d
Pu	244	L1 edge	23111.8	1.8	23109.5	6.4						1d
Pu	239	L1 edge	23111.9	1.8	23113	17						65d
Bk	249	L2N3	23127.4	3.0								
Bk	250	L2N3	23127.4	3.0								
Rh		KN1	23142.4	3.2								
Cm	245	L2N6	23163.9	2.7								
Cm	248	L2N6	23163.9	2.7								
Rh		KN2	23169.9	2.1	23173.0	1.3					KN2,3	1d
Cd		KL3	23173.73	0.67	23173.98	0.20						1,5d
Rh		KN3	23175.60	0.96	23173.0	1.3					KN2,3	1d
Cm	245	L2N7	23177.9	2.1								
Cm	248	L2N7	23177.9	2.1								
Rh		KN4	23218.69	0.83	23217.2	5.8					KN4,5	1d
Rh		KN5	23219.47	0.87	23217.2	5.8					KN4,5	1d
Rh		K edge	23230.23	0.32	23221.99	0.30	23220.14	0.44				13d
Cf	251	L2N1	23311.1	3.5	23345	62						72d
Cf	250	L2N1	23311.3	3.5	23295.5	6.2						71d
Cf	249	L2N1	23311.5	3.5								
Cm	248	L1N3	23318.9	4.0								
Cm	245	L1N3	23319.1	4.0								
Am	243	L1N6	23346.4	3.8								
Am	241	L1N6	23346.5	3.8								
Am	243	L1N7	23359.3	3.1								
Am	241	L1N7	23359.4	3.1								
Bk	249	L2N4	23421.3	3.0								
Bk	250	L2N4	23421.3	3.0								
Bk	249	L2N5	23477.7	2.9								
Bk	250	L2N5	23477.7	2.9								
Cf	251	L2N2	23505.1	4.9	23485	23						72d
Cf	250	L2N2	23505.3	4.9	23501.1	7.6						71d
Cf	249	L2N2	23505.5	4.9								
Bk	250	L1N1	23519.9	4.6								
Bk	249	L1N1	23520.0	4.6	23521	42						70d
Cm	248	L1N4	23606.6	4.1								
Cm	245	L1N4	23606.8	4.1								
Cm	248	L1N5	23660.3	4.0								
Cm	245	L1N5	23660.5	4.0								
Cm	248	L2 edge	23660.96	0.80								
Cm	245	L2 edge	23660.98	0.80	23651	11						68d
Pd		KM1	23681.7	1.2								
In		KL1	23703.5	1.2								
Bk	250	L1N2	23709.5	5.9								
Bk	249	L1N2	23709.6	5.9								
Pd		KM2	23792.0	1.3	23791.12	0.19						1,5d
Am	243	L1 edge	23812.4	1.9								
Am	241	L1 edge	23812.5	1.9	23808.0	3.0						66d
Pd		KM3	23819.5	1.2	23818.69	0.19						1,5d
Cf	251	L2N3	23832.1	3.0	23822	24						72d
Cf	250	L2N3	23832.3	3.0	23819.1	8.4						71d
Cf	249	L2N3	23832.5	3.0								
Bk	250	L2N6	23863.6	2.7								
Bk	249	L2N6	23863.7	2.7								
Bk	249	L2N7	23878.2	2.1								
Bk	250	L2N7	23878.2	2.1								
Es	251	L2N1	23993.0	3.6								
In		KL2	24002.31	0.77	24002.03	0.28						1,5d
Pd		KM4	24011.0	1.0	23995.0	6.2					KM4,5	1d
Pd		KM5	24016.22	0.99	23995.0	6.2					KM4,5	1d
Bk	250	L1N3	24017.6	4.1								
Bk	249	L1N3	24017.7	4.1								
Cm	248	L1N6	24038.2	3.8								
Cm	245	L1N6	24038.4	3.8								
Cm	248	L1N7	24052.2	3.2								
Cm	245	L1N7	24052.4	3.2								
Cf	251	L2N4	24132.0	3.2								
Cf	250	L2N4	24132.3	3.2								
Cf	249	L2N4	24132.4	3.2								
Es	251	L2N2	24191.3	5.0								
Cf	251	L2N5	24191.4	3.0								
Cf	250	L2N5	24191.6	3.0								
Cf	249	L2N5	24191.8	3.0								
In		KL3	24209.78	0.69	24209.75	0.22						1,5d
Cf	251	L1N1	24217.3	4.7	24237	61						72d
Cf	250	L1N1	24217.7	4.7	24201.9	6.3						71d
Cf	249	L1N1	24217.9	4.7								
Pd		KN1	24267.0	3.6								
Pd		KN2	24297.2	2.2	24299.40	0.28					KN2,3	1d
Pd		KN3	24302.2	2.4	24299.40	0.28					KN2,3	1d
Bk	250	L1N4	24311.5	4.2								
Bk	249	L1N4	24311.6	4.2								
Pd		KN4	24348.74	0.89	24344	14					KN4,5	1d
Pd		KN5	24349.18	0.88	24344	14					KN4,5	1d
Pd		K edge	24357.63	0.36	24352.59	0.20	24350.91	0.51				13d
Bk	250	L1N5	24367.9	4.1								
Bk	249	L1N5	24368.0	4.1								
Bk	250	L2 edge	24380.67	0.90								
Bk	249	L2 edge	24380.68	0.90	24382	25						70d
Cf	251	L1N2	24411.3	6.0	24411	72						72d
Cf	250	L1N2	24411.7	6.0	24404.8	8.2						71d
Cf	249	L1N2	24411.9	6.0								
Cm	248	L1 edge	24535.2	1.9								
Cm	245	L1 edge	24535.4	1.9	24515	21						68d
Es	251	L2N3	24538.3	3.0								
Cf	251	L2N6	24585.2	2.7								
Cf	250	L2N6	24585.5	2.7								
Cf	249	L2N6	24585.6	2.7								
Cf	251	L2N7	24600.7	2.2								
Cf	250	L2N7	24600.9	2.2								
Cf	249	L2N7	24601.1	2.2								
Fm	254	L2N1	24699.8	3.7	24704	13						74d
Sn		KL1	24736.6	1.2								
Cf	251	L1N3	24738.3	4.2	24745	72						72d
Cf	250	L1N3	24738.7	4.2	24721.2	9.2						71d
Cf	249	L1N3	24738.9	4.2								
Bk	250	L1N6	24753.8	3.8								
Bk	249	L1N6	24753.9	3.8								
Bk	250	L1N7	24768.4	3.3								
Bk	249	L1N7	24768.5	3.3								
Ag		KM1	24797.4	1.2								
Es	251	L2N4	24844.3	3.2								
Fm	254	L2N2	24902.4	5.1	24901	11						74d
Es	251	L2N5	24906.8	2.9								
Ag		KM2	24912.8	1.5	24911.54	0.30						1,5d
Es	251	L1N1	24915.2	4.8								
Ag		KM3	24943.1	1.3	24942.42	0.30						1,5d
Cf	251	L1N4	25038.3	4.2								
Cf	250	L1N4	25038.7	4.2								
Cf	249	L1N4	25038.8	4.2								
Sn		KL2	25044.30	0.79	25044.04	0.23						1,5d
Cf	251	L1N5	25097.6	4.1								
Cf	250	L1N5	25098.0	4.1								
Cf	249	L1N5	25098.2	4.1								
Es	251	L1N2	25113.6	6.2								
Cf	251	L2 edge	25126.63	0.90								
Cf	250	L2 edge	25126.85	0.90	25108.0	5.0						71d
Cf	249	L2 edge	25127.02	0.90	25097.79	0.45						16d
Ag		KM4	25141.7	1.1	25145.5	1.5					KM4,5	1d
Ag		KM5	25147.6	1.0	25145.5	1.5					KM4,5	1d
Fm	254	L2N3	25270.6	3.1	25273	11						74d
Bk	250	L1 edge	25270.9	2.0								
Bk	249	L1 edge	25271.0	2.0	25272	25						70d
Sn		KL3	25271.34	0.72	25271.36	0.23						1,5d
Es	251	L2N6	25308.5	2.7								
Es	251	L2N7	25325.1	2.3								
Ag		KN1	25421.1	3.5								
Ag		KN2	25455.6	2.9	25456.71	0.31					KN2,3	1d
Ag		KN3	25457.8	2.0	25456.71	0.31					KN2,3	1d
Es	251	L1N3	25460.5	4.2								
Cf	251	L1N6	25491.5	3.8								
Cf	250	L1N6	25491.9	3.8								
Cf	249	L1N6	25492.0	3.8								
Cf	251	L1N7	25507.0	3.3								
Cf	250	L1N7	25507.4	3.3								
Cf	249	L1N7	25507.5	3.3								
Ag		KN4	25509.99	0.91	25511.8	3.1					KN4,5	1d
Ag		KN5	25510.83	0.99	25511.8	3.1					KN4,5	1d
Ag		K edge	25523.71	0.39	25515.59	0.30	25515.51	0.48				13d
Fm	254	L2N4	25582.6	3.2	25585	13						74d
Fm	254	L1N1	25637.7	5.0	25633	14						74d
Fm	254	L2N5	25648.5	2.9	25655	13						74d
Es	251	L1N4	25766.6	4.4								
Sb		KL1	25793.9	1.2								
Es	251	L1N5	25829.0	4.1								
Fm	254	L1N2	25840.3	6.2	25830	12						74d
Es	251	L2 edge	25869.90	0.90								
Cd		KM1	25941.6	1.2								
Cf	251	L1 edge	26032.9	2.0								
Cf	250	L1 edge	26033.3	2.0	26016.0	5.0						71d
Cf	249	L1 edge	26033.4	2.0	26002.39	0.90						16d
Fm	254	L2N6	26058.1	2.7	26005	17					L2N6,7	74d
Cd		KM2	26061.4	1.5	26061.32	0.39						1,5d
Fm	254	L2N7	26075.7	2.3	26005	17					L2N6,7	74d
Cd		KM3	26095.1	1.3	26095.44	0.39						1,5d
Sb		KL2	26110.73	0.82	26110.78	0.25						1,5d
Fm	254	L1N3	26208.5	4.3	26202	12						74d
Es	251	L1N6	26230.8	3.8								
Es	251	L1N7	26247.3	3.4								
Cd		KM4	26301.2	1.1								
Cd		KM5	26307.8	1.1								
Sb		KL3	26358.69	0.74	26358.86	0.25						1,5d
Fm	254	L1N4	26520.5	4.5	26514	14						74d
Fm	254	L1N5	26586.4	4.1	26584	14						74d
Cd		KN1	26604.9	3.5								
Cd		KN3	26643.5	1.6	26644.07	0.59					KN2,3	1d
Cd		KN2	26644.1	3.5	26644.07	0.59					KN2,3	1d
Fm	254	L2 edge	26646.5	1.0	26644.0	7.0						74d
Cd		KN4	26701.15	0.88								
Cd		KN5	26702.5	1.1								
Cd		K edge	26720.58	0.41	26713.29	0.20	26712.94	0.71				13d
Es	251	L1 edge	26792.1	2.1								
Te		KL1	26875.7	1.3								
Fm	254	L1N6	26996.0	3.9	26934	17					L1N6,7	74d
Fm	254	L1N7	27013.6	3.6	26934	17					L1N6,7	74d
In		KM1	27114.4	1.2								
Te		KL2	27201.73	0.85	27201.99	0.26						1d
In		KM2	27238.6	1.5	27237.50	0.25						1,5d
In		KM3	27276.1	1.3	27275.55	0.25						1,5d
Te		KL3	27472.09	0.77	27472.57	0.27						1d
In		KM4	27489.7	1.1	27491.8	1.8						1d
In		KM5	27497.1	1.1	27499.1	1.8						1d
Fm	254	L1 edge	27584.4	2.2	27573.0	8.0						74d
In		KN1	27819.7	3.7								
In		KN2	27860.7	3.6	27861.20	0.93					KN2,3	1d
In		KN3	27860.9	1.7	27861.20	0.93					KN2,3	1d
In		KN4	27923.03	0.99	27928.4	3.7					KN4,5	1d
In		KN5	27924.2	1.0	27928.4	3.7					KN4,5	1d
In		K edge	27949.69	0.44	27940.39	0.30	27940.72	0.69				13d
I		KL1	27982.3	1.3								
Sn		KM1	28316.1	1.2								
I		KL2	28317.62	0.87	28317.52	0.67						1d
Sn		KM2	28444.7	1.6	28444.43	0.33						1,5d
Sn		KM3	28486.4	1.3	28486.26	0.33						1,5d
I		KL3	28611.94	0.79	28612.32	0.49						1d
Sn		KM4	28707.3	1.2	28710.2	3.0						1d
Sn		KM5	28715.6	1.1	28716.2	3.0						1d
Sn		KN1	29064.2	3.7								
Sn		KN2	29096.05	0.80	29109.64	0.81					KN2,3	1d
Sn		KN3	29109.2	1.8	29109.64	0.81					KN2,3	1d
Xe		KL1	29112.8	3.1								
Sn		KN4	29175.4	1.1	29175.7	3.0					KN4,5	1d
Sn		KN5	29176.7	1.1	29175.7	3.0					KN4,5	1d
Sn		K edge	29209.79	0.47	29200.39	0.20	29200.92	0.92				13d
Xe		KL2	29458.4	3.0	29458.250	0.050						5d
Sb		KM1	29546.8	1.2								
Sb		KM2	29680.0	1.6	29679.20	0.29						1,5d
Sb		KM3	29726.0	1.4	29725.53	0.22						1,5d
Xe		KL3	29778.3	2.9	29778.78	0.10						5d
Sb		KM4	29954.6	1.2	29956.1	1.1						1d
Sb		KM5	29963.8	1.2	29963.3	1.1						1d
Cs		KL1	30270.5	1.3								
Sb		KN1	30340.1	3.9								
Sb		KN2	30387.1	4.3	30389.84	0.55					KN2,3	1d
Sb		KN3	30388.0	1.9	30389.84	0.55					KN2,3	1d
Sb		KN4	30458.3	1.1	30461.0	1.1					KN4,5	1d
Sb		KN5	30459.7	1.1	30461.0	1.1					KN4,5	1d
Sb		K edge	30501.27	0.49	30490.49	0.20	30491.99	0.91				13d
Cs		KL2	30624.87	0.95	30625.40	0.45						1d
Te		KM1	30806.9	1.2								
Te		KM2	30944.7	1.6	30944.60	0.46						1d
Cs		KL3	30972.05	0.86	30973.13	0.46						1d
Te		KM3	30995.5	1.4	30995.97	0.34						1d
Te		KM4	31231.6	1.2								
Te		KM5	31241.8	1.2								
Ba		KL1	31452.5	1.4								
Te		KN1	31646.5	4.0								
Te		KN2	31696.4	4.5	31700.76	0.72					KN2,3	1d
Te		KN3	31698.6	2.2	31700.76	0.72					KN2,3	1d
Te		KN4	31772.4	1.1								
Te		KN5	31774.0	1.1								
Ba		KL2	31816.56	0.97	31816.615	0.060						5d
Te		K edge	31824.29	0.52	31811.5	1.2	31815.0	1.1				1d
I		KM1	32096.7	1.2								
Ba		KL3	32192.87	0.88	32193.262	0.070						5d
I		KM2	32239.2	1.6	32239.71	0.50						1d
I		KM3	32295.1	1.4	32295.05	0.50						1d
I		KM4	32538.8	1.3								
I		KM5	32550.1	1.2								
La		KL1	32660.4	1.4								
I		KN1	32984.4	4.0								
La		KL2	33034.2	1.0	33034.38	0.26						1d
I		KN2	33037.3	4.8	33041.7	2.6					KN2,3	1d
I		KN3	33041.8	2.6	33041.7	2.6					KN2,3	1d
I		KN4	33118.2	1.1								
I		KN5	33120.0	1.1								
I		K edge	33179.46	0.54	33167.2	1.3	33169.69	0.89				1d
Xe		KM1	33416.0	3.2								
La		KL3	33441.62	0.91	33442.12	0.27						1d
Xe		KM2	33563.0	3.6	33563.20	0.12						5d
Xe		KM3	33624.6	3.5	33624.23	0.12						5d
Xe		KM4	33876.0	3.3								
